GPS point number,X,Y,Elevation,Descripyion
,451760,7971749,,Hwange coal and gas mine
,455228,7970113,,ZHI plant. 
,455144,7969865,,ZZCC Coking plant
,460007,7967652,,Hwange RDC
,464146,7967082,,DINSON cokong plant
,454508,7971532,,Brick moulding campany
,452377,7968384,,Davis Granite quarry site
,451784,7966176,,Zambezicoal and gas mine
,451784,7966176,,Makomo Resources
,450119,79705119,,AfroChine Turnoff
,448801,7970001,,Aerodrome
,448633,7983579,,Stream algae
,470443,7999119,,Airstrip
,470967,7999171,,Breamer lodge
,479922,8006936,,Hwange power station
,443975,6969762,,Swampy area
,440563,7970011,,Coal processing plant
