VillageNam,ProvinceNa,DistrictNa,WardNumber,X,Y
Bhangale,Matabeleland North,Hwange,20,26.603140000000000,-18.354369999999999
Chamashoko,Matabeleland North,Hwange,13,26.731610000000000,-18.385370000000002
Change,Matabeleland North,Hwange,20,26.626490000000000,-18.384049999999998
Dick NEHWATI,Matabeleland North,Hwange,20,26.626100000000001,-18.362380000000002
Farm 55,Matabeleland North,Hwange,1,26.147200000000002,-18.252620000000000
Gamba,Matabeleland North,Hwange,20,26.602200000000000,-18.390250000000002
Isla Farm,Matabeleland North,Hwange,1,26.085229999999999,-18.291329999999999
Kakunka Village,Matabeleland North,Hwange,10,26.610990000000001,-18.158110000000001
Kasase Centre Village,Matabeleland North,Hwange,10,26.612240000000000,-18.140930000000001
"Kasibo, Gande",Matabeleland North,Hwange,9,26.366700000000002,-18.235610000000001
"Kasibo, Jejeti",Matabeleland North,Hwange,9,26.395800000000001,-18.222239999999999
Lambo ( Chentali ),Matabeleland North,Hwange,14,26.794270000000001,-18.400630000000000
Madumabisa  Village 2,Matabeleland North,Hwange,1,26.382290000000001,-18.344300000000000
Madumabisa Village 1,Matabeleland North,Hwange,1,26.396139999999999,-18.355799999999999
Mashala Top,Matabeleland North,Hwange,9,26.488489999999999,-18.210989999999999
Mubhola,Matabeleland North,Hwange,13,26.767270000000000,-18.360410000000002
Nyagala,Matabeleland North,Hwange,14,26.799299999999999,-18.459470000000000
Shashachunda,Matabeleland North,Hwange,9,26.507239999999999,-18.248600000000000
Sibaliki Village,Matabeleland North,Hwange,10,26.722510000000000,-18.127350000000000
Sindelela Village,Matabeleland North,Hwange,10,26.729109999999999,-18.116900000000001
