timestamp,ph,do,tss,conductivity,turbidity,temp
2026-04-01,7.2,8.5,22,185,12,24.5
2026-04-02,7.1,8.3,25,190,14,24.2
2026-04-03,7.3,8.6,20,180,11,24.8
2026-04-04,7.0,8.1,28,195,15,23.9
2026-04-05,7.2,8.4,23,188,13,24.3
2026-04-06,6.9,7.8,35,210,18,23.5
2026-04-07,7.1,8.2,30,200,16,24.0
2026-04-08,7.4,8.7,18,175,10,25.0
2026-04-09,7.2,8.5,24,185,12,24.6
2026-04-10,7.0,8.0,32,205,17,23.7
2026-04-11,7.3,8.6,21,182,11,24.9
2026-04-12,7.1,8.3,26,192,14,24.1
2026-04-13,6.8,7.5,38,220,20,23.2
2026-04-14,7.2,8.4,25,188,13,24.4
2026-04-15,7.0,8.1,29,198,15,23.8
2026-04-16,7.4,8.8,17,172,9,25.2
2026-04-17,7.2,8.5,23,186,12,24.7
2026-04-18,7.1,8.2,27,194,14,24.0
2026-04-19,6.9,7.6,36,215,19,23.4
2026-04-20,7.3,8.6,22,184,11,24.8
2026-04-21,7.0,8.0,31,202,16,23.6
2026-04-22,7.2,8.4,24,187,13,24.5
2026-04-23,7.1,8.3,28,193,15,24.2
2026-04-24,7.4,8.7,19,178,10,25.1
2026-04-25,7.2,8.5,25,189,12,24.6
2026-04-26,7.0,8.1,30,199,16,23.9
2026-04-27,6.8,7.4,40,225,21,23.0
2026-04-28,7.3,8.6,22,183,11,24.9
